"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat. 22 Apr.","Arsenal","Sunderland",0.817056363641876,0.120653554552442,0.0621019333224465,2,0,0.119036435050135,0.684162941112645,0.315837058887355,0.506062873019922,0.0580563807631982
"Sat. 22 Apr.","Hull City","Watford",0.356886319906128,0.259193646685021,0.383919657625627,1,1,0.123067937495607,0.501348776878192,0.498651223121808,0.254360846610647,0.269676353565569
"Sat. 22 Apr.","Swansea City","Stoke City",0.366744661811298,0.245131790519034,0.388122590311631,1,1,0.113738292771024,0.566153326754253,0.433846673245747,0.223010635317935,0.234038610934554
"Sun. 23 Apr.","Leicester City","Tottenham",0.124356429860064,0.198151828854844,0.677482178996044,0,2,0.130086218170917,0.521758334928266,0.478241665071734,0.131223258556356,0.480715824871886
"Sun. 23 Apr.","Burnley","Manchester Utd",0.224200804167152,0.295254470165622,0.480544632645665,0,1,0.16862222330462,0.323988035364139,0.676011964635861,0.286785293151653,0.470747473488107
"Sun. 23 Apr.","Liverpool","Crystal Palace",0.781033354342532,0.130194492293668,0.0885104649264314,2,0,0.0886523014573372,0.746954659976254,0.253045340023746,0.390469809991177,0.0517994728711332
"Tue. 25 Apr.","Chelsea","Southampton",0.755227004681692,0.167117638263523,0.0776347939480264,2,0,0.15448483815867,0.52094293982027,0.47905706017973,0.576617529559515,0.109768129410374
"Wed. 26 Apr.","Arsenal","Leicester City",0.762801520854073,0.140898909977423,0.0961402636197353,2,0,0.0955509290093471,0.71587226123612,0.28412773876388,0.399749813203125,0.0613616562018566
"Wed. 26 Apr.","Middlesbrough","Sunderland",0.435803472627827,0.340721757669984,0.223474759596169,0,0,0.197176890876353,0.222772028878809,0.777227971121191,0.535873245029097,0.367954345011147
"Wed. 26 Apr.","Crystal Palace","Tottenham",0.129719138259735,0.197979695971277,0.672290767459036,0,2,0.125477477778098,0.534753960540765,0.465246039459236,0.128796292410758,0.463854954440852
"Thu. 27 Apr.","Manchester City","Manchester Utd",0.457937875969911,0.275765914076302,0.266296000750596,1,0,0.133749346868471,0.407663065944113,0.592336934055887,0.382448384576104,0.258512506587112
"Sat. 29 Apr.","Southampton","Hull City",0.641449797184894,0.216616728210032,0.14192903714585,1,0,0.13728130601277,0.484346751239659,0.515653248760341,0.476076148070123,0.154293249011413
"Sat. 29 Apr.","Stoke City","West Ham Utd",0.496267011511594,0.236908886047292,0.266821892371381,1,1,0.110749029575754,0.562421490654098,0.437578509345902,0.299070636227081,0.177395628887672
"Sat. 29 Apr.","West Bromwich","Leicester City",0.573007187588618,0.229196830703987,0.197792709937739,1,0,0.113410179083241,0.523183520536955,0.476816479463045,0.382609207210207,0.163898331289494
"Sat. 29 Apr.","Sunderland","Bournemouth",0.340223508288322,0.250058012910959,0.409717755767155,1,1,0.117561909574085,0.539342426353506,0.460657573646494,0.224095146594689,0.261475560119841
